ID;Warehouse_block;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Reached.on.Time_Y.N;Late_or_ontime;Customer_satisfaction;Customer_segmentation;Weight_category
3193;D;Ship;4;5;273;3;medium;Male;2;4374;0;Ontime;Satisfied;Occasional;Medium weight
3194;E;Ship;3;3;129;3;high;Male;7;5197;1;Late;Neutral;Occasional;Heavy weight
3195;A;Ship;3;1;273;6;low;Male;1;1293;0;Ontime;Dissatisfied;Regular;Light weight
3196;B;Ship;6;4;161;4;medium;Male;3;1747;1;Late;Satisfied;Regular;Light weight
3197;C;Ship;5;2;206;4;low;Male;5;1149;0;Ontime;Dissatisfied;Regular;Light weight
3198;E;Ship;4;5;296;2;medium;Male;1;1678;0;Ontime;Satisfied;Occasional;Light weight
3199;D;Ship;3;2;249;5;medium;Female;6;1887;0;Ontime;Dissatisfied;Regular;Light weight
3200;E;Ship;4;4;301;5;low;Male;6;1931;0;Ontime;Satisfied;Regular;Light weight
3201;A;Ship;4;3;296;3;low;Male;4;1991;0;Ontime;Neutral;Occasional;Light weight
3202;B;Ship;3;5;205;4;low;Male;2;1648;0;Ontime;Satisfied;Regular;Light weight
3203;C;Ship;3;3;132;2;low;Female;9;4355;1;Late;Neutral;Occasional;Medium weight
3204;E;Ship;4;2;223;3;high;Male;5;4282;0;Ontime;Dissatisfied;Occasional;Medium weight
3205;D;Ship;3;1;190;3;medium;Female;2;4312;0;Ontime;Dissatisfied;Occasional;Medium weight
3206;E;Ship;5;3;194;3;low;Female;1;4331;0;Ontime;Neutral;Occasional;Medium weight
3207;A;Ship;2;4;176;2;medium;Female;2;5138;0;Ontime;Satisfied;Occasional;Heavy weight
3208;B;Ship;6;4;227;5;medium;Female;8;4388;0;Ontime;Satisfied;Regular;Medium weight
3209;C;Ship;5;1;149;2;low;Male;9;5435;0;Ontime;Dissatisfied;Occasional;Heavy weight
3210;E;Ship;5;2;173;2;low;Male;7;5836;0;Ontime;Dissatisfied;Occasional;Heavy weight
3211;D;Ship;3;2;181;2;low;Female;6;5410;0;Ontime;Dissatisfied;Occasional;Heavy weight
3212;E;Ship;3;5;251;2;low;Male;4;4015;0;Ontime;Satisfied;Occasional;Medium weight
3213;A;Ship;4;5;243;3;low;Female;2;4909;0;Ontime;Satisfied;Occasional;Medium weight
3214;B;Ship;3;4;210;3;low;Male;10;4398;1;Late;Satisfied;Occasional;Medium weight
3215;C;Ship;5;2;145;4;medium;Female;9;4028;0;Ontime;Dissatisfied;Regular;Medium weight
3216;E;Ship;3;1;196;3;low;Male;10;4546;0;Ontime;Dissatisfied;Occasional;Medium weight
3217;D;Ship;3;4;154;2;medium;Male;5;5735;1;Late;Satisfied;Occasional;Heavy weight
3218;E;Ship;4;1;164;4;low;Male;6;4432;1;Late;Dissatisfied;Regular;Medium weight
3219;A;Ship;4;2;210;3;medium;Female;1;4379;1;Late;Dissatisfied;Occasional;Medium weight
3220;B;Ship;5;3;212;2;low;Female;7;5219;0;Ontime;Neutral;Occasional;Heavy weight
3221;C;Ship;3;1;263;2;medium;Male;9;4868;1;Late;Dissatisfied;Occasional;Medium weight
3222;E;Ship;3;4;155;2;low;Male;3;5481;1;Late;Satisfied;Occasional;Heavy weight
3223;D;Ship;3;4;223;2;low;Male;9;4211;0;Ontime;Satisfied;Occasional;Medium weight
3224;E;Ship;5;4;269;3;low;Female;3;4489;0;Ontime;Satisfied;Occasional;Medium weight
3225;A;Ship;3;4;117;3;low;Female;6;4046;0;Ontime;Satisfied;Occasional;Medium weight
3226;B;Ship;4;4;151;2;low;Male;3;4105;1;Late;Satisfied;Occasional;Medium weight
3227;C;Ship;4;2;271;3;medium;Male;4;4743;1;Late;Dissatisfied;Occasional;Medium weight
3228;E;Ship;3;3;205;3;low;Male;10;5714;0;Ontime;Neutral;Occasional;Heavy weight
3229;D;Ship;5;3;210;5;medium;Male;9;5431;1;Late;Neutral;Regular;Heavy weight
3230;E;Ship;4;1;133;2;medium;Male;8;4277;0;Ontime;Dissatisfied;Occasional;Medium weight
3231;A;Ship;5;2;215;6;medium;Female;5;5195;1;Late;Dissatisfied;Regular;Heavy weight
3232;B;Ship;2;3;140;3;low;Female;2;4691;0;Ontime;Neutral;Occasional;Medium weight
3233;C;Ship;3;3;255;2;low;Male;8;5955;1;Late;Neutral;Occasional;Heavy weight
3234;E;Ship;2;5;159;3;low;Male;5;4190;0;Ontime;Satisfied;Occasional;Medium weight
3235;D;Ship;5;3;169;2;low;Male;8;5352;1;Late;Neutral;Occasional;Heavy weight
3236;E;Ship;5;4;182;2;medium;Male;2;4554;1;Late;Satisfied;Occasional;Medium weight
3237;A;Ship;2;5;231;2;low;Female;10;4406;1;Late;Satisfied;Occasional;Medium weight
3238;B;Ship;3;4;177;3;low;Female;6;4445;0;Ontime;Satisfied;Occasional;Medium weight
3239;C;Ship;4;3;250;3;medium;Female;3;5055;1;Late;Neutral;Occasional;Heavy weight
3240;E;Ship;4;2;145;3;medium;Female;4;5122;1;Late;Dissatisfied;Occasional;Heavy weight
3241;D;Ship;2;5;117;3;high;Female;2;4268;1;Late;Satisfied;Occasional;Medium weight
3242;E;Ship;3;4;170;3;low;Male;5;4716;1;Late;Satisfied;Occasional;Medium weight
3243;A;Ship;4;4;173;3;high;Female;9;5382;1;Late;Satisfied;Occasional;Heavy weight
3244;B;Ship;4;2;232;3;medium;Male;8;4658;1;Late;Dissatisfied;Occasional;Medium weight
3245;C;Ship;3;2;231;4;medium;Male;4;5510;0;Ontime;Dissatisfied;Regular;Heavy weight
3246;E;Ship;3;4;136;3;medium;Male;2;4524;1;Late;Satisfied;Occasional;Medium weight
3247;D;Ship;4;1;189;3;medium;Male;5;4496;1;Late;Dissatisfied;Occasional;Medium weight
3248;E;Ship;5;4;222;3;low;Male;7;5340;0;Ontime;Satisfied;Occasional;Heavy weight
3249;A;Ship;4;3;148;3;high;Female;7;5034;1;Late;Neutral;Occasional;Heavy weight
3250;B;Ship;5;2;265;2;medium;Female;7;5464;1;Late;Dissatisfied;Occasional;Heavy weight
3251;C;Ship;4;1;181;2;low;Female;3;5877;0;Ontime;Dissatisfied;Occasional;Heavy weight
3252;E;Ship;6;5;189;2;high;Male;4;5898;1;Late;Satisfied;Occasional;Heavy weight
3253;D;Ship;3;2;160;3;medium;Female;6;4808;1;Late;Dissatisfied;Occasional;Medium weight
3254;E;Ship;3;3;235;3;medium;Female;10;4186;0;Ontime;Neutral;Occasional;Medium weight
3255;A;Ship;3;4;100;3;medium;Male;4;4191;0;Ontime;Satisfied;Occasional;Medium weight
3256;B;Ship;5;5;135;4;medium;Female;7;5765;1;Late;Satisfied;Regular;Heavy weight
3257;C;Ship;5;2;137;3;low;Male;6;4883;0;Ontime;Dissatisfied;Occasional;Medium weight
3258;E;Ship;4;2;222;3;high;Female;9;5337;0;Ontime;Dissatisfied;Occasional;Heavy weight
3259;D;Ship;5;1;246;3;medium;Female;10;4078;1;Late;Dissatisfied;Occasional;Medium weight
3260;E;Ship;3;3;202;3;medium;Female;8;5486;1;Late;Neutral;Occasional;Heavy weight
3261;A;Ship;4;5;273;3;low;Female;1;5043;1;Late;Satisfied;Occasional;Heavy weight
3262;B;Road;5;1;248;2;low;Female;9;5881;1;Late;Dissatisfied;Occasional;Heavy weight
3263;C;Road;4;4;199;4;medium;Female;5;4194;0;Ontime;Satisfied;Regular;Medium weight
3264;E;Road;4;3;209;3;medium;Male;7;4104;1;Late;Neutral;Occasional;Medium weight
3265;D;Road;4;5;216;2;low;Male;2;4905;0;Ontime;Satisfied;Occasional;Medium weight
3266;E;Road;4;2;227;3;low;Male;2;4318;1;Late;Dissatisfied;Occasional;Medium weight
3267;A;Road;3;1;216;4;medium;Female;4;4416;0;Ontime;Dissatisfied;Regular;Medium weight
3268;B;Road;2;3;242;2;medium;Female;1;5892;1;Late;Neutral;Occasional;Heavy weight
3269;C;Road;5;4;217;3;medium;Female;8;4949;1;Late;Satisfied;Occasional;Medium weight
3270;E;Road;2;2;160;3;medium;Female;9;4613;0;Ontime;Dissatisfied;Occasional;Medium weight
3271;D;Road;5;3;141;2;medium;Male;4;5257;0;Ontime;Neutral;Occasional;Heavy weight
3272;E;Road;5;4;263;2;medium;Female;5;4595;0;Ontime;Satisfied;Occasional;Medium weight
3273;A;Road;5;4;171;4;low;Male;7;5359;1;Late;Satisfied;Regular;Heavy weight
3274;B;Road;3;5;195;2;low;Female;4;4864;0;Ontime;Satisfied;Occasional;Medium weight
3275;C;Road;3;5;237;3;low;Male;4;5561;1;Late;Satisfied;Occasional;Heavy weight
3276;E;Road;2;5;241;4;low;Female;4;5693;1;Late;Satisfied;Regular;Heavy weight
3277;D;Road;3;4;134;3;medium;Female;9;4230;1;Late;Satisfied;Occasional;Medium weight
3278;E;Road;5;5;156;3;low;Female;5;5398;1;Late;Satisfied;Occasional;Heavy weight
3279;A;Road;3;4;211;2;low;Male;6;6000;0;Ontime;Satisfied;Occasional;Heavy weight
3280;B;Road;3;2;243;2;low;Female;5;4769;0;Ontime;Dissatisfied;Occasional;Medium weight
3281;C;Road;4;3;196;2;medium;Female;7;4116;1;Late;Neutral;Occasional;Medium weight
3282;E;Road;3;3;242;2;medium;Female;7;4960;0;Ontime;Neutral;Occasional;Medium weight
3283;D;Road;3;4;175;3;low;Female;3;4449;0;Ontime;Satisfied;Occasional;Medium weight
3284;E;Flight;2;2;155;3;low;Male;1;5154;0;Ontime;Dissatisfied;Occasional;Heavy weight
3285;A;Flight;4;1;200;2;low;Female;9;4808;1;Late;Dissatisfied;Occasional;Medium weight
3286;B;Flight;3;3;191;3;low;Male;4;4586;0;Ontime;Neutral;Occasional;Medium weight
3287;C;Flight;4;5;221;3;low;Female;6;5895;0;Ontime;Satisfied;Occasional;Heavy weight
3288;E;Flight;3;1;135;3;low;Male;9;4511;0;Ontime;Dissatisfied;Occasional;Medium weight
3289;D;Flight;3;2;152;4;medium;Female;7;5943;1;Late;Dissatisfied;Regular;Heavy weight
3290;E;Flight;2;5;172;2;low;Male;7;4649;0;Ontime;Satisfied;Occasional;Medium weight
3291;A;Flight;5;2;253;2;high;Female;2;5643;1;Late;Dissatisfied;Occasional;Heavy weight
3292;B;Flight;5;1;270;2;high;Male;10;5360;0;Ontime;Dissatisfied;Occasional;Heavy weight
3293;C;Flight;2;4;139;4;high;Male;3;5041;0;Ontime;Satisfied;Regular;Heavy weight
3294;E;Flight;5;2;257;4;medium;Male;9;5088;0;Ontime;Dissatisfied;Regular;Heavy weight
3295;D;Flight;4;1;155;3;low;Female;5;4283;1;Late;Dissatisfied;Occasional;Medium weight
3296;E;Flight;3;5;125;2;low;Male;5;4933;1;Late;Satisfied;Occasional;Medium weight
3297;A;Flight;5;4;233;2;low;Female;7;4597;1;Late;Satisfied;Occasional;Medium weight
3298;B;Flight;3;3;205;2;medium;Male;6;4989;1;Late;Neutral;Occasional;Medium weight
3299;C;Flight;5;4;243;3;medium;Male;4;4420;1;Late;Satisfied;Occasional;Medium weight
3300;E;Flight;4;4;208;3;low;Female;10;4919;0;Ontime;Satisfied;Occasional;Medium weight
3301;D;Flight;3;1;230;3;medium;Female;6;4392;0;Ontime;Dissatisfied;Occasional;Medium weight
3302;E;Flight;4;5;205;3;medium;Male;5;4949;1;Late;Satisfied;Occasional;Medium weight
3303;A;Flight;3;4;170;2;low;Female;2;5664;0;Ontime;Satisfied;Occasional;Heavy weight
3304;B;Flight;4;2;222;2;medium;Male;5;4268;0;Ontime;Dissatisfied;Occasional;Medium weight
3305;C;Flight;5;4;186;2;low;Male;3;4213;0;Ontime;Satisfied;Occasional;Medium weight
3306;E;Ship;5;1;208;2;low;Female;8;5218;0;Ontime;Dissatisfied;Occasional;Heavy weight
3307;D;Ship;4;3;223;3;medium;Female;9;5897;0;Ontime;Neutral;Occasional;Heavy weight
3308;E;Ship;5;3;154;2;medium;Male;8;4006;0;Ontime;Neutral;Occasional;Medium weight
3309;A;Ship;5;3;235;4;medium;Female;10;4011;0;Ontime;Neutral;Regular;Medium weight
3310;B;Ship;4;3;271;3;medium;Male;1;4137;0;Ontime;Neutral;Occasional;Medium weight
3311;C;Ship;4;5;250;3;low;Female;2;5206;0;Ontime;Satisfied;Occasional;Heavy weight
3312;E;Ship;4;2;206;2;medium;Male;4;5159;0;Ontime;Dissatisfied;Occasional;Heavy weight
3313;D;Ship;3;1;153;3;low;Male;10;5121;1;Late;Dissatisfied;Occasional;Heavy weight
3314;E;Ship;4;4;212;2;medium;Female;6;4117;1;Late;Satisfied;Occasional;Medium weight
3315;A;Ship;6;4;168;2;high;Male;6;5686;0;Ontime;Satisfied;Occasional;Heavy weight
3316;B;Ship;3;1;171;2;low;Male;10;5379;1;Late;Dissatisfied;Occasional;Heavy weight
3317;C;Ship;3;5;132;2;low;Male;10;4462;1;Late;Satisfied;Occasional;Medium weight
3318;E;Ship;5;3;141;3;low;Male;9;4857;0;Ontime;Neutral;Occasional;Medium weight
3319;D;Ship;3;2;254;2;low;Male;1;4334;0;Ontime;Dissatisfied;Occasional;Medium weight
3320;E;Ship;4;4;159;2;medium;Female;6;5221;0;Ontime;Satisfied;Occasional;Heavy weight
3321;A;Ship;2;4;194;2;low;Female;4;4803;1;Late;Satisfied;Occasional;Medium weight
3322;B;Ship;4;3;178;6;low;Male;6;4203;0;Ontime;Neutral;Regular;Medium weight
3323;C;Ship;3;4;151;3;low;Male;2;5712;1;Late;Satisfied;Occasional;Heavy weight
3324;E;Ship;5;1;244;2;low;Female;5;4125;1;Late;Dissatisfied;Occasional;Medium weight
3325;D;Ship;3;2;237;3;low;Male;8;5287;1;Late;Dissatisfied;Occasional;Heavy weight
3326;E;Ship;3;1;241;3;medium;Male;9;5184;0;Ontime;Dissatisfied;Occasional;Heavy weight
3327;A;Ship;4;2;156;3;low;Male;3;5923;0;Ontime;Dissatisfied;Occasional;Heavy weight
3328;B;Ship;4;3;243;3;medium;Male;1;5021;0;Ontime;Neutral;Occasional;Heavy weight
3329;C;Ship;5;5;219;2;medium;Male;4;4289;0;Ontime;Satisfied;Occasional;Medium weight
3330;E;Ship;4;5;168;2;high;Male;2;5776;0;Ontime;Satisfied;Occasional;Heavy weight
3331;D;Ship;6;3;224;6;high;Male;8;5661;0;Ontime;Neutral;Regular;Heavy weight
3332;E;Ship;4;4;216;2;medium;Male;2;5840;1;Late;Satisfied;Occasional;Heavy weight
3333;A;Ship;3;1;187;5;low;Female;6;4698;0;Ontime;Dissatisfied;Regular;Medium weight
3334;B;Ship;5;3;204;3;high;Female;1;4037;1;Late;Neutral;Occasional;Medium weight
3335;C;Ship;6;5;266;5;low;Male;10;4140;0;Ontime;Satisfied;Regular;Medium weight
3336;E;Ship;3;4;179;2;low;Female;2;4931;1;Late;Satisfied;Occasional;Medium weight
3337;D;Ship;3;4;184;3;low;Male;10;4776;0;Ontime;Satisfied;Occasional;Medium weight
3338;E;Ship;6;2;204;4;medium;Female;2;4431;0;Ontime;Dissatisfied;Regular;Medium weight
3339;A;Ship;3;4;255;2;medium;Female;7;4332;1;Late;Satisfied;Occasional;Medium weight
3340;B;Ship;4;1;272;2;medium;Female;5;5252;0;Ontime;Dissatisfied;Occasional;Heavy weight
3341;C;Ship;4;3;186;2;low;Male;7;4947;1;Late;Neutral;Occasional;Medium weight
3342;E;Ship;5;4;147;4;medium;Male;6;4369;0;Ontime;Satisfied;Regular;Medium weight
3343;D;Ship;3;4;145;3;medium;Male;4;5361;1;Late;Satisfied;Occasional;Heavy weight
3344;E;Ship;5;1;255;3;medium;Female;6;5715;0;Ontime;Dissatisfied;Occasional;Heavy weight
3345;A;Ship;3;4;133;2;low;Female;7;4663;0;Ontime;Satisfied;Occasional;Medium weight
3346;B;Ship;4;1;155;4;low;Female;1;4985;0;Ontime;Dissatisfied;Regular;Medium weight
3347;C;Ship;4;5;151;4;medium;Male;10;4796;0;Ontime;Satisfied;Regular;Medium weight
3348;E;Ship;4;2;270;2;high;Female;3;4914;1;Late;Dissatisfied;Occasional;Medium weight
3349;D;Ship;3;1;234;4;high;Male;6;4942;0;Ontime;Dissatisfied;Regular;Medium weight
3350;E;Ship;3;5;186;2;medium;Male;4;4352;0;Ontime;Satisfied;Occasional;Medium weight
3351;A;Ship;4;5;157;2;medium;Male;6;5937;0;Ontime;Satisfied;Occasional;Heavy weight
3352;B;Ship;4;4;268;3;low;Male;7;5947;0;Ontime;Satisfied;Occasional;Heavy weight
3353;C;Ship;4;3;244;2;low;Male;10;4486;1;Late;Neutral;Occasional;Medium weight
3354;E;Ship;4;5;190;3;low;Male;2;4554;0;Ontime;Satisfied;Occasional;Medium weight
3355;D;Ship;4;4;161;4;low;Male;5;5038;0;Ontime;Satisfied;Regular;Heavy weight
3356;E;Ship;2;4;162;3;high;Female;2;5893;1;Late;Satisfied;Occasional;Heavy weight
3357;A;Ship;4;3;163;8;medium;Female;6;5739;0;Ontime;Neutral;Loyal;Heavy weight
3358;B;Ship;3;3;211;6;low;Male;5;5777;1;Late;Neutral;Regular;Heavy weight
3359;C;Ship;3;4;205;8;medium;Male;1;4977;1;Late;Satisfied;Loyal;Medium weight
3360;E;Ship;3;5;150;3;medium;Female;4;4442;1;Late;Satisfied;Occasional;Medium weight
3361;D;Ship;2;5;209;5;medium;Female;10;4623;1;Late;Satisfied;Regular;Medium weight
3362;E;Ship;5;2;250;3;medium;Female;6;5298;0;Ontime;Dissatisfied;Occasional;Heavy weight
3363;A;Ship;3;2;206;3;high;Female;1;4431;1;Late;Dissatisfied;Occasional;Medium weight
3364;B;Ship;5;2;244;3;low;Male;2;4198;0;Ontime;Dissatisfied;Occasional;Medium weight
3365;C;Ship;2;1;180;3;low;Male;2;4615;1;Late;Dissatisfied;Occasional;Medium weight
3366;E;Ship;4;4;256;3;medium;Male;1;5784;1;Late;Satisfied;Occasional;Heavy weight
3367;D;Ship;5;4;273;3;medium;Female;2;5672;1;Late;Satisfied;Occasional;Heavy weight
3368;E;Ship;4;1;178;8;medium;Female;6;4872;0;Ontime;Dissatisfied;Loyal;Medium weight
3369;A;Ship;4;2;296;2;medium;Female;2;1233;0;Ontime;Dissatisfied;Occasional;Light weight
3370;B;Ship;3;3;249;5;medium;Female;9;1752;0;Ontime;Neutral;Regular;Light weight
3371;C;Ship;4;5;151;4;medium;Male;3;5470;0;Ontime;Satisfied;Regular;Heavy weight
3372;E;Ship;4;3;270;2;high;Female;5;5346;0;Ontime;Neutral;Occasional;Heavy weight
3373;D;Ship;3;2;234;4;high;Female;7;4568;1;Late;Dissatisfied;Regular;Medium weight
3374;E;Ship;3;4;186;2;medium;Female;9;5841;0;Ontime;Satisfied;Occasional;Heavy weight
3375;A;Ship;4;1;157;2;medium;Male;3;5801;0;Ontime;Dissatisfied;Occasional;Heavy weight
3376;B;Ship;4;2;268;3;low;Female;3;5488;1;Late;Dissatisfied;Occasional;Heavy weight
3377;C;Ship;4;1;244;2;low;Female;3;4644;1;Late;Dissatisfied;Occasional;Medium weight
3378;E;Ship;4;4;190;3;low;Male;2;4800;0;Ontime;Satisfied;Occasional;Medium weight
3379;D;Ship;4;2;161;4;low;Female;10;5322;0;Ontime;Dissatisfied;Regular;Heavy weight
3380;E;Ship;2;2;162;3;high;Male;10;4489;1;Late;Dissatisfied;Occasional;Medium weight
3381;A;Ship;4;1;163;8;medium;Female;9;5489;1;Late;Dissatisfied;Loyal;Heavy weight
3382;B;Ship;3;2;211;6;low;Female;2;4417;0;Ontime;Dissatisfied;Regular;Medium weight
3383;C;Ship;3;4;205;8;medium;Female;5;4869;1;Late;Satisfied;Loyal;Medium weight
3384;E;Ship;3;3;150;3;medium;Male;4;5536;0;Ontime;Neutral;Occasional;Heavy weight
3385;D;Ship;2;5;209;5;medium;Female;9;5565;0;Ontime;Satisfied;Regular;Heavy weight
3386;E;Ship;5;3;250;3;medium;Male;4;4343;0;Ontime;Neutral;Occasional;Medium weight
3387;A;Ship;3;1;206;3;high;Female;8;4763;1;Late;Dissatisfied;Occasional;Medium weight
3388;B;Ship;5;5;244;3;low;Male;9;5695;0;Ontime;Satisfied;Occasional;Heavy weight
3389;C;Ship;2;2;180;3;low;Male;2;5033;1;Late;Dissatisfied;Occasional;Heavy weight
3390;E;Ship;4;5;256;3;medium;Male;10;4504;1;Late;Satisfied;Occasional;Medium weight
3391;D;Ship;5;4;273;3;medium;Male;6;4044;1;Late;Satisfied;Occasional;Medium weight
3392;E;Ship;4;2;178;8;medium;Male;5;4120;1;Late;Dissatisfied;Loyal;Medium weight
3393;A;Ship;4;3;296;2;medium;Female;9;1523;1;Late;Neutral;Occasional;Light weight
3394;B;Ship;4;2;275;6;medium;Male;2;1712;1;Late;Dissatisfied;Regular;Light weight
3395;C;Ship;5;5;270;3;low;Male;2;4351;1;Late;Satisfied;Occasional;Medium weight
3396;E;Ship;6;5;224;4;medium;Male;6;4616;0;Ontime;Satisfied;Regular;Medium weight
3397;D;Ship;2;4;172;5;low;Male;4;4668;0;Ontime;Satisfied;Regular;Medium weight
3398;E;Ship;4;4;176;3;low;Female;1;4774;0;Ontime;Satisfied;Occasional;Medium weight
3399;A;Road;6;2;240;4;low;Male;9;4099;0;Ontime;Dissatisfied;Regular;Medium weight
3400;B;Road;3;4;213;3;low;Female;5;4535;1;Late;Satisfied;Occasional;Medium weight
3401;C;Road;4;2;197;3;low;Female;2;5707;0;Ontime;Dissatisfied;Occasional;Heavy weight
3402;E;Road;4;5;167;2;low;Female;7;4289;1;Late;Satisfied;Occasional;Medium weight
3403;D;Road;5;1;180;3;low;Female;2;5013;1;Late;Dissatisfied;Occasional;Heavy weight
3404;E;Road;3;1;119;2;low;Female;10;4146;1;Late;Dissatisfied;Occasional;Medium weight
3405;A;Road;5;5;232;4;low;Male;3;5447;0;Ontime;Satisfied;Regular;Heavy weight
3406;B;Road;3;5;139;2;medium;Male;7;5536;0;Ontime;Satisfied;Occasional;Heavy weight
3407;C;Road;3;2;272;3;low;Male;2;4459;1;Late;Dissatisfied;Occasional;Medium weight
3408;E;Road;3;2;253;3;low;Female;7;4915;0;Ontime;Dissatisfied;Occasional;Medium weight
3409;D;Road;3;2;188;3;low;Male;4;5376;0;Ontime;Dissatisfied;Occasional;Heavy weight
3410;E;Road;3;4;202;3;medium;Male;5;5169;0;Ontime;Satisfied;Occasional;Heavy weight
3411;A;Road;3;1;134;3;low;Female;7;5802;1;Late;Dissatisfied;Occasional;Heavy weight
3412;B;Road;3;5;110;3;medium;Male;3;4252;1;Late;Satisfied;Occasional;Medium weight
3413;C;Road;3;2;172;2;low;Female;9;4532;1;Late;Dissatisfied;Occasional;Medium weight
3414;E;Road;3;1;188;3;low;Male;3;4222;0;Ontime;Dissatisfied;Occasional;Medium weight
3415;D;Road;3;1;258;4;medium;Female;6;5365;1;Late;Dissatisfied;Regular;Heavy weight
3416;E;Road;5;3;234;3;low;Male;10;5673;0;Ontime;Neutral;Occasional;Heavy weight
3417;A;Road;3;4;148;4;medium;Female;9;5301;0;Ontime;Satisfied;Regular;Heavy weight
3418;B;Road;5;3;194;4;low;Female;2;5396;0;Ontime;Neutral;Regular;Heavy weight
3419;C;Road;4;4;266;3;medium;Female;2;5413;1;Late;Satisfied;Occasional;Heavy weight
3420;E;Road;5;5;158;3;medium;Male;7;5559;1;Late;Satisfied;Occasional;Heavy weight
3421;D;Flight;5;1;228;2;high;Male;6;4984;1;Late;Dissatisfied;Occasional;Medium weight
3422;E;Flight;4;5;159;2;low;Male;1;5671;0;Ontime;Satisfied;Occasional;Heavy weight
3423;A;Flight;3;4;255;4;low;Male;10;4107;0;Ontime;Satisfied;Regular;Medium weight
3424;B;Flight;3;4;213;3;low;Female;4;5481;1;Late;Satisfied;Occasional;Heavy weight
3425;C;Flight;3;4;148;2;low;Female;5;4693;1;Late;Satisfied;Occasional;Medium weight
3426;E;Flight;4;5;219;3;medium;Male;6;5957;1;Late;Satisfied;Occasional;Heavy weight
3427;D;Flight;3;5;168;5;medium;Male;9;5731;1;Late;Satisfied;Regular;Heavy weight
3428;E;Flight;4;3;148;5;medium;Female;6;4802;0;Ontime;Neutral;Regular;Medium weight
3429;A;Flight;3;4;149;3;low;Female;5;5467;0;Ontime;Satisfied;Occasional;Heavy weight
3430;B;Flight;3;5;245;6;high;Male;9;4793;0;Ontime;Satisfied;Regular;Medium weight
3431;C;Flight;3;1;200;2;medium;Male;10;5178;1;Late;Dissatisfied;Occasional;Heavy weight
3432;E;Flight;3;1;228;3;medium;Male;9;5530;0;Ontime;Dissatisfied;Occasional;Heavy weight
3433;D;Flight;4;1;175;4;low;Male;2;4053;0;Ontime;Dissatisfied;Regular;Medium weight
3434;E;Flight;3;3;201;3;low;Male;9;5895;1;Late;Neutral;Occasional;Heavy weight
3435;A;Flight;4;3;267;4;low;Male;7;5140;0;Ontime;Neutral;Regular;Heavy weight
3436;B;Flight;3;4;217;2;medium;Female;9;5450;0;Ontime;Satisfied;Occasional;Heavy weight
3437;C;Flight;2;3;160;2;high;Male;3;4409;0;Ontime;Neutral;Occasional;Medium weight
3438;E;Flight;4;4;264;3;low;Female;2;4279;1;Late;Satisfied;Occasional;Medium weight
3439;D;Flight;3;1;179;3;high;Male;5;5898;1;Late;Dissatisfied;Occasional;Heavy weight
3440;E;Flight;4;5;259;3;medium;Male;10;4921;1;Late;Satisfied;Occasional;Medium weight
3441;A;Flight;4;5;178;2;high;Male;5;5403;0;Ontime;Satisfied;Occasional;Heavy weight
3442;B;Flight;3;2;242;5;medium;Male;6;4694;0;Ontime;Dissatisfied;Regular;Medium weight
3443;C;Ship;4;4;235;2;low;Male;4;5671;0;Ontime;Satisfied;Occasional;Heavy weight
3444;E;Ship;4;1;247;2;medium;Female;7;5098;0;Ontime;Dissatisfied;Occasional;Heavy weight
3445;D;Ship;2;2;240;5;low;Male;7;4138;1;Late;Dissatisfied;Regular;Medium weight
3446;E;Ship;3;1;252;2;low;Male;4;5559;0;Ontime;Dissatisfied;Occasional;Heavy weight
3447;A;Ship;5;4;237;2;low;Male;8;5600;1;Late;Satisfied;Occasional;Heavy weight
3448;B;Ship;4;2;161;3;low;Female;4;5947;0;Ontime;Dissatisfied;Occasional;Heavy weight
3449;C;Ship;2;3;144;4;low;Female;10;4075;0;Ontime;Neutral;Regular;Medium weight
3450;E;Ship;4;1;163;4;medium;Male;2;5432;1;Late;Dissatisfied;Regular;Heavy weight
3451;D;Ship;4;3;246;3;low;Female;5;5118;0;Ontime;Neutral;Occasional;Heavy weight
3452;E;Ship;3;2;213;3;medium;Male;10;5993;1;Late;Dissatisfied;Occasional;Heavy weight
3453;A;Ship;5;1;123;2;low;Female;9;5497;0;Ontime;Dissatisfied;Occasional;Heavy weight
3454;B;Ship;4;3;192;3;low;Male;1;4045;1;Late;Neutral;Occasional;Medium weight
3455;C;Ship;4;4;149;3;low;Female;8;5658;1;Late;Satisfied;Occasional;Heavy weight
3456;E;Ship;5;3;206;4;high;Female;1;4583;0;Ontime;Neutral;Regular;Medium weight
3457;D;Ship;6;4;243;6;low;Male;8;5218;0;Ontime;Satisfied;Regular;Heavy weight
3458;E;Ship;4;5;136;3;low;Female;1;4585;1;Late;Satisfied;Occasional;Medium weight
3459;A;Ship;4;1;170;2;medium;Female;5;5182;0;Ontime;Dissatisfied;Occasional;Heavy weight
3460;B;Ship;2;4;180;2;low;Female;8;4321;1;Late;Satisfied;Occasional;Medium weight
3461;C;Ship;3;5;220;2;low;Female;1;5663;0;Ontime;Satisfied;Occasional;Heavy weight
3462;E;Ship;3;3;144;2;low;Male;6;5994;1;Late;Neutral;Occasional;Heavy weight
3463;D;Ship;3;4;271;2;medium;Male;6;4218;0;Ontime;Satisfied;Occasional;Medium weight
